instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,4,10,6000,6000,897,153.0,5.517241379310345,True,0.8535,1233,47871,1.0,0.1629382303839733,14,3.2643426659997203,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,6000,6000,76,152.0,4.827586206896552,True,0.971,414,6790,1.0,0.01669449081803005,10,2.8471505409979727,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,6000,6000,2870,151.0,4.137931034482759,True,0.9711666666666666,439,7007,1.0,0.019365609348914858,12,2.9642488329991465,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,6000,6000,87,163.0,12.413793103448276,True,0.9715,404,6844,1.0,0.014190317195325543,9,2.9376293329987675,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,3,10,6000,6000,102,158.0,8.96551724137931,True,0.9728333333333333,472,6917,1.0,0.017529215358931552,12,3.083872750001319,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,4,10,6000,6000,71,148.0,2.0689655172413794,True,0.9721666666666666,471,7104,1.0,0.018363939899833055,13,3.068933750000724,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,6000,6000,402,150.0,3.4482758620689653,True,0.963,505,6920,0.9918196994991653,0.016026711185308847,11,3.0350810829986585,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,6000,6000,136,155.0,6.896551724137931,True,0.97,476,6937,0.9948247078464106,0.015859766277128547,9,3.1182743340032175,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,6000,6000,200,148.0,2.0689655172413794,True,0.9665,473,6934,0.9939899833055091,0.015191986644407346,17,3.0503654170024674,3.13.15,2.5.1,development,small,optimum
scp63,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,3,10,6000,6000,542,154.0,6.206896551724138,True,0.9678333333333333,529,6966,0.9953255425709516,0.015191986644407346,11,2.9690589169986197,3.13.15,2.5.1,development,small,optimum
