instance,algorithm,movement_mode,scheme,rally_mode,binarization_input,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpnrg3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,351,170.0,2.4096385542168677,True,0.0016666666666666668,234393,76904,139.63073987467214,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,1164,168.0,1.2048192771084338,True,0.0016666666666666668,238228,81337,139.4665137496777,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,2178,169.0,1.8072289156626506,True,0.0016666666666666668,233516,78636,139.19777620816603,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,155,170.0,2.4096385542168677,True,0.0016666666666666668,227829,73830,142.0382806248963,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,117,171.0,3.0120481927710845,True,0.0016666666666666668,230446,70698,142.44289316702634,3.13.15,2.5.1,development,very_large,best_known
scpnrg3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,1452,170.0,2.4096385542168677,True,0.0016666666666666668,229730,74379,136.44179858407006,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,429,61.0,3.389830508474576,True,0.0016666666666666668,106748,52692,127.98754870798439,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,1175,60.0,1.694915254237288,True,0.0016666666666666668,105204,55632,127.04032787494361,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,88,62.0,5.084745762711864,True,0.0016666666666666668,107964,53919,126.96394070936367,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,143,62.0,5.084745762711864,True,0.0016666666666666668,110283,54725,104.58516879193485,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,476,61.0,3.389830508474576,True,0.0016666666666666668,105510,53588,100.19596529193223,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,5755,60.0,1.694915254237288,True,0.0016666666666666668,106084,54564,126.5679966667667,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,3821,60.0,1.694915254237288,True,0.0016666666666666668,103900,54177,126.32569337496534,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,410,62.0,5.084745762711864,True,0.0016666666666666668,110026,56233,127.12546370783821,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,2676,61.0,3.389830508474576,True,0.0016666666666666668,109177,53348,95.76543779065832,3.13.15,2.5.1,development,very_large,best_known
scpnrh3,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,177,62.0,5.084745762711864,True,0.0016666666666666668,110629,53885,93.88918433291838,3.13.15,2.5.1,development,very_large,best_known
