instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scpc3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,218,337.0,38.68312757201646,True,0.8,102,27319,1.0,0.5379310344827586,17,1.8564121249946766,3.13.15,2.5.1,development,large,optimum
scpc3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,265,337.0,38.68312757201646,True,0.8066666666666666,83,27150,1.0,0.6344827586206897,18,1.8485620840001502,3.13.15,2.5.1,development,large,optimum
scpc3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,194,350.0,44.03292181069959,True,0.7766666666666666,97,27355,1.0,0.5241379310344828,14,1.5363080830065883,3.13.15,2.5.1,development,large,optimum
scpc3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,46,305.0,25.51440329218107,True,0.8733333333333333,509,20096,1.0,0.17586206896551723,9,1.2662519579971558,3.13.15,2.5.1,development,large,optimum
scpc3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,171,269.0,10.699588477366255,True,0.7833333333333333,657,20066,1.0,0.2482758620689655,14,1.2709502919969964,3.13.15,2.5.1,development,large,optimum
scpc3,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,59,270.0,11.11111111111111,True,0.79,649,20290,1.0,0.23793103448275862,12,1.7107668749958975,3.13.15,2.5.1,development,large,optimum
scpc3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,300,300,115,280.0,15.22633744855967,True,0.8033333333333333,733,20238,0.9517241379310345,0.2103448275862069,12,2.046474708004098,3.13.15,2.5.1,development,large,optimum
scpc3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,300,300,171,283.0,16.46090534979424,True,0.85,499,19921,0.9896551724137931,0.17586206896551723,10,2.049947166997299,3.13.15,2.5.1,development,large,optimum
scpc3,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,300,300,61,260.0,6.995884773662551,True,0.7933333333333333,752,20373,0.9620689655172414,0.1896551724137931,10,1.7101434579963097,3.13.15,2.5.1,development,large,optimum
scpc3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,203,284.0,16.872427983539094,True,0.6866666666666666,918,20791,1.0,0.3482758620689655,14,1.560822792002,3.13.15,2.5.1,development,large,optimum
scpc3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,186,290.0,19.34156378600823,True,0.63,989,21193,1.0,0.3689655172413793,10,1.570514084000024,3.13.15,2.5.1,development,large,optimum
scpc3,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,249,275.0,13.168724279835391,True,0.7433333333333333,965,21013,1.0,0.40344827586206894,11,1.7916231249982957,3.13.15,2.5.1,development,large,optimum
scpd3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,136,99.0,37.5,True,0.9233333333333333,33,27793,1.0,0.4068965517241379,7,1.4826328330018441,3.13.15,2.5.1,development,large,optimum
scpd3,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,128,102.0,41.666666666666664,True,0.9533333333333334,19,27663,1.0,0.3413793103448276,4,1.5209424999993644,3.13.15,2.5.1,development,large,optimum
