instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scpd2,test,large,optimum,ABLATION_IID,IID,V3-ELIT,31,67.0,67.0,0.0,67.0,67.0,67.0,0.0,67.0,1.5151515151515151,1.5151515151515151,1.0,29.49500193272627,64.0,29.18520430107527,5.434784946236559
scpd2,test,large,optimum,BGWO,REFERENCE,V3-ELIT,31,67.0,67.0,0.0,67.0,67.0,67.0,0.0,67.0,1.5151515151515151,1.5151515151515151,1.0,20.59851351072411,124.0,15.458430107526882,4.664317204301075
scpd2,test,large,optimum,BPSO,REFERENCE,V3-ELIT,31,67.0,67.19354838709677,0.4016096644512494,67.0,67.0,67.0,0.0,68.0,1.8084066471163245,1.5151515151515151,1.0,41.099449770014374,107.0,42.8217688172043,5.887795698924731
scpd2,test,large,optimum,BPWO,PWO,S2-ELIT,31,66.0,66.93548387096774,0.3592106040535498,67.0,67.0,67.0,0.0,68.0,1.4173998044965785,1.5151515151515151,1.0,18.7674259449836,568.0,13.7077311827957,4.6236236559139785
scpd2,test,large,optimum,BPWO,PWO,V3-ELIT,31,66.0,66.96774193548387,0.1796053020267749,67.0,67.0,67.0,0.0,67.0,1.466275659824047,1.5151515151515151,1.0,19.4577267943551,283.0,14.742790322580644,4.622833333333333
scpd2,test,large,optimum,GREEDY,N/A,N/A,1,71.0,71.0,0.0,71.0,71.0,71.0,0.0,71.0,7.575757575757576,7.575757575757576,1.0,0.008391749579459429,1.0,51.0,3.0
scpnre2,test,large,optimum,ABLATION_IID,IID,V3-ELIT,31,30.0,30.193548387096776,0.4016096644512494,30.0,30.0,30.0,0.0,31.0,0.6451612903225806,0.0,1.0,40.236186462409435,143.0,18.176220430107527,5.252462365591398
scpnre2,test,large,optimum,BGWO,REFERENCE,V3-ELIT,31,30.0,30.451612903225808,0.5679618342470648,30.0,30.0,31.0,1.0,32.0,1.5053763440860217,0.0,1.0,31.4742282150133,264.0,9.328618279569891,4.650575268817204
scpnre2,test,large,optimum,BPSO,REFERENCE,V3-ELIT,31,30.0,30.580645161290324,0.501610310127101,31.0,30.0,31.0,1.0,31.0,1.935483870967742,3.3333333333333335,1.0,44.44493803886637,149.0,21.38587634408602,5.548720430107527
scpnre2,test,large,optimum,BPWO,PWO,S2-ELIT,31,30.0,30.806451612903224,0.6010743070375285,31.0,30.0,31.0,1.0,32.0,2.688172043010753,3.3333333333333335,1.0,29.30396150136667,96.0,8.152435483870969,4.591489247311828
scpnre2,test,large,optimum,BPWO,PWO,V3-ELIT,31,30.0,30.612903225806452,0.5584155773160767,31.0,30.0,31.0,1.0,32.0,2.043010752688172,3.3333333333333335,1.0,29.6580032486799,303.0,8.77260752688172,4.608639784946236
scpnre2,test,large,optimum,GREEDY,N/A,N/A,1,32.0,32.0,0.0,32.0,32.0,32.0,0.0,32.0,6.666666666666667,6.666666666666667,1.0,0.01229158416390419,1.0,32.0,4.0
scpnrf2,test,large,optimum,ABLATION_IID,IID,V3-ELIT,31,15.0,15.0,0.0,15.0,15.0,15.0,0.0,15.0,0.0,0.0,1.0,36.353275218978524,32.0,9.80063440860215,4.3827473118279565
scpnrf2,test,large,optimum,BGWO,REFERENCE,V3-ELIT,31,15.0,15.0,0.0,15.0,15.0,15.0,0.0,15.0,0.0,0.0,1.0,31.090331674808816,29.0,5.324634408602151,4.266215053763441
scpnrf2,test,large,optimum,BPSO,REFERENCE,V3-ELIT,31,15.0,15.03225806451613,0.1796053020267749,15.0,15.0,15.0,0.0,16.0,0.21505376344086022,0.0,1.0,38.2273967419751,29.0,10.406139784946236,4.408456989247312
scpnrf2,test,large,optimum,BPWO,PWO,S2-ELIT,31,15.0,15.0,0.0,15.0,15.0,15.0,0.0,15.0,0.0,0.0,1.0,29.002322018837496,37.0,4.415672043010752,4.2473064516129035
scpnrf2,test,large,optimum,BPWO,PWO,V3-ELIT,31,15.0,15.0,0.0,15.0,15.0,15.0,0.0,15.0,0.0,0.0,1.0,29.22376184133933,36.0,4.821467741935484,4.256139784946237
scpnrf2,test,large,optimum,GREEDY,N/A,N/A,1,16.0,16.0,0.0,16.0,16.0,16.0,0.0,16.0,6.666666666666667,6.666666666666667,1.0,0.007609667256474495,1.0,15.0,0.0
scpnrg2,test,very_large,best_known,ABLATION_IID,IID,V3-ELIT,31,156.0,157.67741935483872,0.7017642896867651,158.0,158.0,158.0,0.0,158.0,2.387934645999162,2.5974025974025974,1.0,174.13905807809843,993.0,73.26563978494625,15.092489247311828
scpnrg2,test,very_large,best_known,BGWO,REFERENCE,V3-ELIT,31,156.0,157.8709677419355,0.6704195444580937,158.0,158.0,158.0,0.0,159.0,2.513615416841223,2.5974025974025974,1.0,132.97075030913638,767.0,39.01487634408603,11.84083870967742
scpnrg2,test,very_large,best_known,BPSO,REFERENCE,V3-ELIT,31,157.0,158.51612903225808,0.5698518954918891,159.0,158.0,159.0,1.0,159.0,2.932551319648094,3.2467532467532467,1.0,226.54696207681312,123.0,106.1228440860215,19.52589247311828
scpnrg2,test,very_large,best_known,BPWO,PWO,S2-ELIT,31,156.0,157.5483870967742,1.0275767506588613,158.0,157.0,158.0,1.0,159.0,2.3041474654377883,2.5974025974025974,1.0,131.08111282391474,1554.0,33.554026881720425,11.461806451612905
scpnrg2,test,very_large,best_known,BPWO,PWO,V3-ELIT,31,156.0,158.03225806451613,0.7063460420946632,158.0,158.0,158.0,0.0,160.0,2.6183493925429406,2.5974025974025974,1.0,130.79121005110022,792.0,36.490123655913976,11.737435483870968
scpnrg2,test,very_large,best_known,GREEDY,N/A,N/A,1,162.0,162.0,0.0,162.0,162.0,162.0,0.0,162.0,5.194805194805195,5.194805194805195,1.0,0.05593483382835984,1.0,129.0,16.0
scpnrh2,test,very_large,best_known,ABLATION_IID,IID,V3-ELIT,31,64.0,64.03225806451613,0.1796053020267749,64.0,64.0,64.0,0.0,65.0,1.6385048643113158,1.5873015873015872,1.0,149.4826121720816,144.0,38.16443010752688,11.161010752688172
scpnrh2,test,very_large,best_known,BGWO,REFERENCE,V3-ELIT,31,64.0,64.03225806451613,0.1796053020267749,64.0,64.0,64.0,0.0,65.0,1.6385048643113158,1.5873015873015872,1.0,126.69635194630152,269.0,19.682532258064516,9.885774193548388
scpnrh2,test,very_large,best_known,BPSO,REFERENCE,V3-ELIT,31,64.0,64.41935483870968,0.672021505032247,64.0,64.0,65.0,1.0,66.0,2.252944188428059,1.5873015873015872,1.0,165.75425638046656,779.0,48.4257311827957,11.958021505376344
scpnrh2,test,very_large,best_known,BPWO,PWO,S2-ELIT,31,64.0,64.2258064516129,0.5603378397214094,64.0,64.0,64.0,0.0,66.0,1.9457245263696876,1.5873015873015872,1.0,126.12293494362083,395.0,16.969241935483872,9.558069892473117
scpnrh2,test,very_large,best_known,BPWO,PWO,V3-ELIT,31,63.0,64.35483870967742,0.6607262215055084,64.0,64.0,65.0,1.0,66.0,2.150537634408602,1.5873015873015872,1.0,125.37754067197262,212.0,18.551279569892472,9.639693548387097
scpnrh2,test,very_large,best_known,GREEDY,N/A,N/A,1,73.0,73.0,0.0,73.0,73.0,73.0,0.0,73.0,15.873015873015873,15.873015873015873,1.0,0.03059025015681982,1.0,65.0,1.0
