instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpb1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,5625,93.0,34.78260869565217,True,1.0,0,12342843,43.29572712499066,3.14.0,2.5.2,calibration,medium,optimum
scpb1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,4467,90.0,30.434782608695652,True,1.0,0,12345896,43.877086416003294,3.14.0,2.5.2,calibration,medium,optimum
scpc1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,3634,372.0,63.87665198237885,True,1.0,0,6175472,36.91865925001912,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,4302,366.0,61.23348017621145,True,1.0,0,6175233,37.31725304201245,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,3867,360.0,58.590308370044056,True,1.0,0,6168188,37.15122608299134,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,2300,349.0,53.74449339207048,True,1.0,0,6169760,36.872494584007654,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,3453,345.0,51.98237885462555,True,1.0,0,6176673,37.1703199170006,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,1543,323.0,42.290748898678416,True,1.0,0,16201428,60.4358170000196,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,5829,333.0,46.69603524229075,True,1.0,0,16190541,60.80382891598856,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,4144,315.0,38.76651982378855,True,1.0,0,16199535,60.21743525000056,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,4954,315.0,38.76651982378855,True,1.0,0,16197309,60.09736395801883,3.14.0,2.5.2,calibration,large,optimum
scpc1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,1477,327.0,44.052863436123346,True,1.0,0,16200924,60.223722499998985,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,4340,78.0,30.0,True,1.0,0,6302898,37.350623124977574,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,4108,78.0,30.0,True,1.0,0,6300842,36.221412541985046,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,5733,84.0,40.0,True,1.0,0,6296924,36.19185370800551,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,3031,77.0,28.333333333333332,True,1.0,0,6296555,37.196716459002346,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,3960,78.0,30.0,True,1.0,0,6302116,37.11529200000223,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,5503,79.0,31.666666666666668,True,1.0,0,16549902,61.80315395898651,3.14.0,2.5.2,calibration,large,optimum
scpd1,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,12,81.0,35.0,True,1.0,0,16546072,62.616293459024746,3.14.0,2.5.2,calibration,large,optimum
