instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scpb1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,223,70.0,1.4492753623188406,True,0.9662,1712,60065,42.761430374812335,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,285,71.0,2.898550724637681,True,0.9657333333333333,1536,59882,43.00822104187682,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,333,70.0,1.4492753623188406,True,0.9666,1609,60432,42.40942129120231,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,171,70.0,1.4492753623188406,True,0.9677333333333333,1373,59731,41.389783082995564,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,269,70.0,1.4492753623188406,True,0.9636,1473,59758,40.67246741615236,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,344,69.0,0.0,True,0.002,192768,55097,51.181325040757656,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,261,69.0,0.0,True,0.002,194191,56707,51.71458158409223,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,244,69.0,0.0,True,0.002,192250,55036,51.63273425027728,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,186,69.0,0.0,True,0.002,192802,54528,57.14051779080182,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,820,69.0,0.0,True,0.002,193216,54824,56.77112429169938,3.13.15,2.5.1,calibration,medium,optimum
scpc1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,383,231.0,1.7621145374449338,True,0.9421333333333334,3920,80812,80.9093042910099,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,304,229.0,0.8810572687224669,True,0.9471333333333334,3034,79883,81.48124545812607,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,314,233.0,2.643171806167401,True,0.9389333333333333,3994,80711,80.93467066716403,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,428,234.0,3.0837004405286343,True,0.9394,4086,80819,82.62187212519348,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,344,233.0,2.643171806167401,True,0.9449333333333333,3377,80436,81.70320220803842,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,1120,231.0,1.7621145374449338,True,0.002,460285,129521,102.1987412921153,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,580,228.0,0.44052863436123346,True,0.002,458436,131390,102.25269658304751,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,603,228.0,0.44052863436123346,True,0.002,458240,130722,102.50530350022018,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,212,231.0,1.7621145374449338,True,0.002,459373,129176,102.97486633434892,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,376,228.0,0.44052863436123346,True,0.002,457715,131242,103.28316416591406,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,267,61.0,1.6666666666666667,True,0.9632666666666667,1774,80378,79.61775491666049,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,189,62.0,3.3333333333333335,True,0.9100666666666667,3635,81858,74.34630795801058,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,538,61.0,1.6666666666666667,True,0.9606666666666667,1920,80313,73.99751208303496,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,208,61.0,1.6666666666666667,True,0.9640666666666666,1729,80141,74.30038275010884,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,183,62.0,3.3333333333333335,True,0.9526,2113,80724,74.78717904118821,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,7462,60.0,0.0,True,0.002,228997,96289,93.83243941701949,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,6444,60.0,0.0,True,0.002,225769,91759,102.8906465000473,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,1234,61.0,1.6666666666666667,True,0.002,223402,87036,103.96274112490937,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,1323,60.0,0.0,True,0.002,226552,92761,100.22787591675296,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,514,61.0,1.6666666666666667,True,0.002,223111,87075,99.14050683332607,3.13.15,2.5.1,calibration,large,optimum
